,date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR
179,2021-01-30,Everton,Newcastle,0,2,A
180,2021-01-30,Crystal Palace,Wolves,1,0,H
181,2021-01-30,Man City,Sheffield Utd,1,0,H
182,2021-01-30,West Brom,Fulham,2,2,D
183,2021-01-30,Arsenal,Man Utd,0,0,D
184,2021-01-30,Southampton,Aston Villa,0,1,A
185,2021-01-28,Spurs,Liverpool,1,3,A
186,2021-01-27,Burnley,Aston Villa,3,2,H
187,2021-01-27,Chelsea,Wolves,0,0,D
188,2021-01-27,Brighton,Fulham,0,0,D
189,2021-01-27,Everton,Leicester,1,1,D
190,2021-01-27,Man Utd,Sheffield Utd,1,2,A
191,2021-01-26,Crystal Palace,West Ham,2,3,A
192,2021-01-26,Newcastle,Leeds,1,2,A
193,2021-01-26,Southampton,Arsenal,1,3,A
194,2021-01-26,West Brom,Man City,0,5,A
195,2021-01-23,Aston Villa,Newcastle,2,0,H
196,2021-01-21,Liverpool,Burnley,0,1,A
197,2021-01-20,Man City,Aston Villa,2,0,H
198,2021-01-20,Fulham,Man Utd,1,2,A
199,2021-01-19,Leicester,Chelsea,2,0,H
200,2021-01-19,West Ham,West Brom,2,1,H
201,2021-01-18,Arsenal,Newcastle,3,0,H
202,2021-01-17,Sheffield Utd,Spurs,1,3,A
203,2021-01-17,Liverpool,Man Utd,0,0,D
204,2021-01-17,Man City,Crystal Palace,4,0,H
205,2021-01-16,Wolves,West Brom,2,3,A
206,2021-01-16,Leeds,Brighton,0,1,A
207,2021-01-16,West Ham,Burnley,1,0,H
208,2021-01-16,Fulham,Chelsea,0,1,A
209,2021-01-16,Leicester,Southampton,2,0,H
210,2021-01-14,Arsenal,Crystal Palace,0,0,D
211,2021-01-13,Man City,Brighton,1,0,H
212,2021-01-13,Spurs,Fulham,1,1,D
213,2021-01-12,Sheffield Utd,Newcastle,1,0,H
214,2021-01-12,Burnley,Man Utd,0,1,A
215,2021-01-12,Wolves,Everton,1,2,A
216,2021-01-04,Southampton,Liverpool,1,0,H
217,2021-01-03,Newcastle,Leicester,1,2,A
218,2021-01-03,Chelsea,Man City,1,3,A
219,2021-01-02,Spurs,Leeds,3,0,H
220,2021-01-02,Crystal Palace,Sheffield Utd,2,0,H
221,2021-01-02,Brighton,Wolves,3,3,D
222,2021-01-02,West Brom,Arsenal,0,4,A
223,2021-01-01,Everton,West Ham,0,1,A
