,date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR
205,2018-12-22,Man City,Crystal Palace,2,3,A
206,2018-12-22,Newcastle,Fulham,0,0,D
207,2018-12-22,West Ham,Watford,0,2,A
208,2018-12-22,Cardiff,Man Utd,1,5,A
209,2018-12-21,Wolves,Liverpool,0,2,A
210,2018-12-16,Brighton,Chelsea,1,2,A
211,2018-12-16,Southampton,Arsenal,3,2,H
212,2018-12-16,Liverpool,Man Utd,3,1,H
213,2018-12-15,Man City,Everton,3,1,H
214,2018-12-15,Crystal Palace,Leicester,1,0,H
215,2018-12-15,Huddersfield,Newcastle,0,1,A
216,2018-12-15,Spurs,Burnley,1,0,H
217,2018-12-15,Watford,Cardiff,3,2,H
218,2018-12-15,Wolves,Bournemouth,2,0,H
219,2018-12-15,Fulham,West Ham,0,2,A
220,2018-12-10,Everton,Watford,2,2,D
221,2018-12-09,Newcastle,Wolves,1,2,A
222,2018-12-08,Bournemouth,Liverpool,0,4,A
223,2018-12-08,Arsenal,Huddersfield,1,0,H
224,2018-12-08,Burnley,Brighton,1,0,H
225,2018-12-08,Cardiff,Southampton,1,0,H
226,2018-12-08,Man Utd,Fulham,4,1,H
227,2018-12-08,West Ham,Crystal Palace,3,2,H
228,2018-12-08,Chelsea,Man City,2,0,H
229,2018-12-08,Leicester,Spurs,0,2,A
230,2018-12-05,Burnley,Liverpool,1,3,A
231,2018-12-05,Everton,Newcastle,1,1,D
232,2018-12-05,Fulham,Leicester,1,1,D
233,2018-12-05,Wolves,Chelsea,2,1,H
234,2018-12-05,Man Utd,Arsenal,2,2,D
235,2018-12-05,Spurs,Southampton,3,1,H
236,2018-12-04,Bournemouth,Huddersfield,2,1,H
237,2018-12-04,Brighton,Crystal Palace,3,1,H
238,2018-12-04,West Ham,Cardiff,3,1,H
239,2018-12-04,Watford,Man City,1,2,A
240,2018-12-02,Chelsea,Fulham,2,0,H
241,2018-12-02,Arsenal,Spurs,4,2,H
242,2018-12-02,Liverpool,Everton,1,0,H
243,2018-12-01,Crystal Palace,Burnley,2,0,H
244,2018-12-01,Huddersfield,Brighton,1,2,A
245,2018-12-01,Leicester,Watford,2,0,H
246,2018-12-01,Man City,Bournemouth,3,1,H
247,2018-12-01,Newcastle,West Ham,0,3,A
248,2018-12-01,Southampton,Man Utd,2,2,D
249,2018-11-30,Cardiff,Wolves,2,1,H
250,2018-11-26,Burnley,Newcastle,1,2,A
251,2018-11-25,Bournemouth,Arsenal,1,2,A
252,2018-11-25,Wolves,Huddersfield,0,2,A
253,2018-11-24,Brighton,Leicester,1,1,D
254,2018-11-24,Everton,Cardiff,1,0,H
255,2018-11-24,Fulham,Southampton,3,2,H
256,2018-11-24,Man Utd,Crystal Palace,0,0,D
257,2018-11-24,Watford,Liverpool,0,3,A
258,2018-11-24,West Ham,Man City,0,4,A
259,2018-11-24,Spurs,Chelsea,3,1,H
260,2018-11-11,Liverpool,Fulham,2,0,H
261,2018-11-11,Chelsea,Everton,0,0,D
262,2018-11-11,Arsenal,Wolves,1,1,D
263,2018-11-11,Man City,Man Utd,3,1,H
264,2018-11-10,Cardiff,Brighton,2,1,H
265,2018-11-10,Huddersfield,West Ham,1,1,D
266,2018-11-10,Leicester,Burnley,0,0,D
267,2018-11-10,Newcastle,Bournemouth,2,1,H
268,2018-11-10,Southampton,Watford,1,1,D
269,2018-11-10,Crystal Palace,Spurs,0,1,A
270,2018-11-05,Huddersfield,Fulham,1,0,H
271,2018-11-04,Man City,Southampton,6,1,H
272,2018-11-04,Chelsea,Crystal Palace,3,1,H
273,2018-11-03,Bournemouth,Man Utd,1,2,A
274,2018-11-03,Cardiff,Leicester,0,1,A
275,2018-11-03,Everton,Brighton,3,1,H
276,2018-11-03,Newcastle,Watford,1,0,H
277,2018-11-03,West Ham,Burnley,4,2,H
278,2018-11-03,Arsenal,Liverpool,1,1,D
279,2018-11-03,Wolves,Spurs,2,3,A
280,2018-10-29,Spurs,Man City,0,1,A
281,2018-10-28,Burnley,Chelsea,0,4,A
282,2018-10-28,Crystal Palace,Arsenal,2,2,D
283,2018-10-28,Man Utd,Everton,2,1,H
284,2018-10-27,Brighton,Wolves,1,0,H
285,2018-10-27,Fulham,Bournemouth,0,3,A
286,2018-10-27,Liverpool,Cardiff,4,1,H
287,2018-10-27,Southampton,Newcastle,0,0,D
288,2018-10-27,Watford,Huddersfield,3,0,H
289,2018-10-27,Leicester,West Ham,1,1,D
290,2018-10-22,Arsenal,Leicester,3,1,H
291,2018-10-21,Everton,Crystal Palace,2,0,H
292,2018-10-20,Chelsea,Man Utd,2,2,D
293,2018-10-20,Bournemouth,Southampton,0,0,D
294,2018-10-20,Cardiff,Fulham,4,2,H
295,2018-10-20,Man City,Burnley,5,0,H
296,2018-10-20,Newcastle,Brighton,0,1,A
297,2018-10-20,West Ham,Spurs,0,1,A
298,2018-10-20,Wolves,Watford,0,2,A
299,2018-10-20,Huddersfield,Liverpool,0,1,A
300,2018-10-07,Fulham,Arsenal,1,5,A
301,2018-10-07,Southampton,Chelsea,0,3,A
302,2018-10-07,Liverpool,Man City,0,0,D
303,2018-10-06,Burnley,Huddersfield,1,1,D
304,2018-10-06,Crystal Palace,Wolves,0,1,A
305,2018-10-06,Leicester,Everton,1,2,A
306,2018-10-06,Spurs,Cardiff,1,0,H
307,2018-10-06,Watford,Bournemouth,0,4,A
308,2018-10-06,Man Utd,Newcastle,3,2,H
309,2018-10-05,Brighton,West Ham,1,0,H
